ID,Prix,Quantite,Remise,CA_Brut,CA_Net,TVA_20pct
639,105.195,11,25.0,1157.14,867.86,173.57
640,9.05,14,0.0,126.7,126.7,25.34
641,39.16,8,0.0,313.28,313.28,62.66
642,90.0,2,10.0,180.0,162.0,32.4
643,135.68,6,15.0,814.08,691.97,138.39
644,189.31,9,0.0,1703.79,1703.79,340.76
645,54.22,495,20.0,26838.9,21471.12,4294.22
646,5.22,8,5.0,41.76,39.67,7.93
647,126.41,8,5.0,1011.28,960.72,192.14
648,30.55,15,0.0,458.25,458.25,91.65
649,105.195,13,0.0,1367.54,1367.54,273.51
650,7.67,4,0.0,30.68,30.68,6.14
651,27.91,8,5.0,223.28,212.12,42.42
652,58.32,8,20.0,466.56,373.25,74.65
653,13.58,12,0.0,162.96,162.96,32.59
654,159.05,15,5.0,2385.75,2266.46,453.29
655,60.15,10,30.0,601.5,421.05,84.21
656,33.98,6,20.0,203.88,163.1,32.62
657,186.91,12,10.0,2242.92,2018.63,403.73
658,156.23,0,10.0,0.0,0.0,0.0
659,134.42,3,0.0,403.26,403.26,80.65
660,193.24,2,15.0,386.48,328.51,65.7
661,182.54,8,0.0,1460.32,1460.32,292.06
662,157.4,10,30.0,1574.0,1101.8,220.36
663,69.07,9,10.0,621.63,559.47,111.89
664,178.05,9,0.0,1602.45,1602.45,320.49
665,128.08,4,10.0,512.32,461.09,92.22
666,153.27,2,5.0,306.54,291.21,58.24
667,13.97,5,10.0,69.85,62.86,12.57
668,28.9,13,0.0,375.7,375.7,75.14
669,174.81,4,25.0,699.24,524.43,104.89
670,25.75,5,15.0,128.75,109.44,21.89
671,137.13,8,25.0,1097.04,822.78,164.56
672,192.6,8,5.0,1540.8,1463.76,292.75
673,171.4,295,25.0,50563.0,37922.25,7584.45
674,141.36,8,10.0,1130.88,1017.79,203.56
675,115.36,12,25.0,1384.32,1038.24,207.65
676,167.4,13,25.0,2176.2,1632.15,326.43
677,47.71,5,30.0,238.55,166.98,33.4
678,31.67,1,15.0,31.67,26.92,5.38
679,105.195,3,0.0,315.58,315.58,63.12
680,86.02,13,10.0,1118.26,1006.43,201.29
681,183.13,5,15.0,915.65,778.3,155.66
682,62.55,13,0.0,813.15,813.15,162.63
683,48.49,12,10.0,581.88,523.69,104.74
684,161.89,13,5.0,2104.57,1999.34,399.87
685,93.68,11,10.0,1030.48,927.43,185.49
686,188.36,219,25.0,41250.84,30938.13,6187.63
687,114.47,4,30.0,457.88,320.52,64.1
688,182.33,7,0.0,1276.31,1276.31,255.26
689,64.35,2,20.0,128.7,102.96,20.59
690,25.41,12,20.0,304.92,243.94,48.79
691,149.74,7,15.0,1048.18,890.95,178.19
692,188.12,12,15.0,2257.44,1918.82,383.76
693,51.04,11,30.0,561.44,393.01,78.6
694,82.64,2,15.0,165.28,140.49,28.1
695,46.36,1,0.0,46.36,46.36,9.27
696,197.82,4,0.0,791.28,791.28,158.26
697,45.4,14,0.0,635.6,635.6,127.12
698,121.22,3,20.0,363.66,290.93,58.19
699,39.03,1,0.0,39.03,39.03,7.81
700,51.4,3,0.0,154.2,154.2,30.84
701,107.59,8,10.0,860.72,774.65,154.93
702,26.27,10,0.0,262.7,262.7,52.54
703,174.06,8,0.0,1392.48,1392.48,278.5
704,98.4,11,0.0,1082.4,1082.4,216.48
705,19.33,2,0.0,38.66,38.66,7.73
706,128.45,6,25.0,770.7,578.03,115.61
707,93.47,2,0.0,186.94,186.94,37.39
708,131.93,12,10.0,1583.16,1424.84,284.97
709,49.56,8,0.0,396.48,396.48,79.3
710,65.94,3,15.0,197.82,168.15,33.63
711,167.2,1,10.0,167.2,150.48,30.1
712,113.49,9,30.0,1021.41,714.99,143.0
713,73.95,13,0.0,961.35,961.35,192.27
714,122.08,10,0.0,1220.8,1220.8,244.16
715,48.73,384,5.0,18712.32,17776.7,3555.34
716,162.41,13,25.0,2111.33,1583.5,316.7
717,113.56,11,5.0,1249.16,1186.7,237.34
718,105.195,13,10.0,1367.54,1230.79,246.16
719,40.37,11,0.0,444.07,444.07,88.81
720,194.5,2,15.0,389.0,330.65,66.13
721,77.16,13,25.0,1003.08,752.31,150.46
722,15.26,10,0.0,152.6,152.6,30.52
723,91.41,10,5.0,914.1,868.4,173.68
724,104.91,2,30.0,209.82,146.87,29.37
725,107.75,4,25.0,431.0,323.25,64.65
726,44.86,13,0.0,583.18,583.18,116.64
727,28.4,7,10.0,198.8,178.92,35.78
728,49.87,11,0.0,548.57,548.57,109.71
729,149.7,8,10.0,1197.6,1077.84,215.57
730,116.81,7,10.0,817.67,735.9,147.18
731,105.195,13,15.0,1367.54,1162.41,232.48
732,184.36,1,25.0,184.36,138.27,27.65
733,20.34,12,10.0,244.08,219.67,43.93
734,19.89,9,10.0,179.01,161.11,32.22
735,191.85,3,0.0,575.55,575.55,115.11
736,38.83,13,0.0,504.79,504.79,100.96
737,127.45,10,15.0,1274.5,1083.32,216.66
738,177.0,10,30.0,1770.0,1239.0,247.8
739,90.75,11,5.0,998.25,948.34,189.67
740,73.63,5,0.0,368.15,368.15,73.63
741,60.98,14,0.0,853.72,853.72,170.74
742,95.23,13,0.0,1237.99,1237.99,247.6
743,162.91,6,20.0,977.46,781.97,156.39
744,17.07,275,0.0,4694.25,4694.25,938.85
745,38.65,8,20.0,309.2,247.36,49.47
746,35.96,5,10.0,179.8,161.82,32.36
747,15.21,6,0.0,91.26,91.26,18.25
748,137.28,12,25.0,1647.36,1235.52,247.1
749,70.01,3,5.0,210.03,199.53,39.91
750,141.2,10,0.0,1412.0,1412.0,282.4
751,78.45,14,0.0,1098.3,1098.3,219.66
752,149.06,9,0.0,1341.54,1341.54,268.31
753,75.56,3,10.0,226.68,204.01,40.8
754,99.82,3,0.0,299.46,299.46,59.89
755,24.72,14,20.0,346.08,276.86,55.37
756,105.195,13,25.0,1367.54,1025.66,205.13
757,36.64,13,0.0,476.32,476.32,95.26
758,13.52,12,15.0,162.24,137.9,27.58
759,151.72,4,5.0,606.88,576.54,115.31
760,157.95,4,25.0,631.8,473.85,94.77
761,95.03,7,10.0,665.21,598.69,119.74
762,164.29,3,0.0,492.87,492.87,98.57
763,175.45,2,20.0,350.9,280.72,56.14
764,60.59,5,20.0,302.95,242.36,48.47
765,24.69,4,10.0,98.76,88.88,17.78
766,85.9,6,0.0,515.4,515.4,103.08
767,10.5,14,10.0,147.0,132.3,26.46
768,31.83,14,0.0,445.62,445.62,89.12
769,96.48,15,0.0,1447.2,1447.2,289.44
770,167.82,12,10.0,2013.84,1812.46,362.49
771,61.18,1,30.0,61.18,42.83,8.57
772,94.14,355,0.0,33419.7,33419.7,6683.94
773,117.13,5,25.0,585.65,439.24,87.85
774,116.28,11,0.0,1279.08,1279.08,255.82
775,107.58,9,10.0,968.22,871.4,174.28
776,13.49,6,0.0,80.94,80.94,16.19
777,18.17,11,25.0,199.87,149.9,29.98
778,69.84,0,30.0,0.0,0.0,0.0
779,156.93,12,0.0,1883.16,1883.16,376.63
780,17.3,8,0.0,138.4,138.4,27.68
781,159.27,6,20.0,955.62,764.5,152.9
782,164.0,1,5.0,164.0,155.8,31.16
783,173.12,0,5.0,0.0,0.0,0.0
784,76.76,12,10.0,921.12,829.01,165.8
785,41.43,6,20.0,248.58,198.86,39.77
786,21.11,7,0.0,147.77,147.77,29.55
787,67.64,3,25.0,202.92,152.19,30.44
788,37.5,8,0.0,300.0,300.0,60.0
789,73.75,5,0.0,368.75,368.75,73.75
790,129.31,13,0.0,1681.03,1681.03,336.21
791,32.84,13,0.0,426.92,426.92,85.38
792,156.81,7,0.0,1097.67,1097.67,219.53
793,137.42,6,0.0,824.52,824.52,164.9
794,108.24,11,0.0,1190.64,1190.64,238.13
795,105.195,9,20.0,946.75,757.4,151.48
796,156.12,4,5.0,624.48,593.26,118.65
797,199.73,3,15.0,599.19,509.31,101.86
798,144.11,13,10.0,1873.43,1686.09,337.22
799,143.36,5,0.0,716.8,716.8,143.36
800,185.83,13,5.0,2415.79,2295.0,459.0
801,44.19,13,10.0,574.47,517.02,103.4
802,76.94,9,0.0,692.46,692.46,138.49
803,82.64,8,10.0,661.12,595.01,119.0
804,19.38,11,0.0,213.18,213.18,42.64
805,105.89,14,30.0,1482.46,1037.72,207.54
806,154.72,9,0.0,1392.48,1392.48,278.5
807,106.03,3,5.0,318.09,302.19,60.44
808,188.48,14,0.0,2638.72,2638.72,527.74
809,191.49,11,20.0,2106.39,1685.11,337.02
810,129.99,10,0.0,1299.9,1299.9,259.98
811,123.0,10,0.0,1230.0,1230.0,246.0
812,20.84,13,30.0,270.92,189.64,37.93
813,116.57,1,30.0,116.57,81.6,16.32
814,130.17,4,30.0,520.68,364.48,72.9
815,93.44,3,15.0,280.32,238.27,47.65
816,71.34,14,10.0,998.76,898.88,179.78
817,30.5,9,0.0,274.5,274.5,54.9
818,57.16,2,0.0,114.32,114.32,22.86
819,173.51,14,10.0,2429.14,2186.23,437.25
820,145.62,3,20.0,436.86,349.49,69.9
821,176.42,2,20.0,352.84,282.27,56.45
822,51.94,1,0.0,51.94,51.94,10.39
823,177.06,8,0.0,1416.48,1416.48,283.3
824,89.03,12,10.0,1068.36,961.52,192.3
825,83.11,4,5.0,332.44,315.82,63.16
826,103.33,5,25.0,516.65,387.49,77.5
827,28.17,7,10.0,197.19,177.47,35.49
828,76.29,10,20.0,762.9,610.32,122.06
829,105.195,8,15.0,841.56,715.33,143.07
830,34.04,3,25.0,102.12,76.59,15.32
831,81.63,14,10.0,1142.82,1028.54,205.71
832,104.39,10,0.0,1043.9,1043.9,208.78
833,136.39,10,30.0,1363.9,954.73,190.95
834,105.195,11,25.0,1157.14,867.86,173.57
835,145.67,3,25.0,437.01,327.76,65.55
836,79.14,4,0.0,316.56,316.56,63.31
837,26.43,8,0.0,211.44,211.44,42.29
838,44.76,10,0.0,447.6,447.6,89.52
839,106.14,11,10.0,1167.54,1050.79,210.16
840,38.77,6,30.0,232.62,162.83,32.57
841,145.58,12,15.0,1746.96,1484.92,296.98
842,53.07,4,5.0,212.28,201.67,40.33
843,142.46,8,10.0,1139.68,1025.71,205.14
844,187.22,5,0.0,936.1,936.1,187.22
845,179.67,6,0.0,1078.02,1078.02,215.6
846,61.09,6,30.0,366.54,256.58,51.32
847,98.42,9,20.0,885.78,708.62,141.72
848,31.77,10,0.0,317.7,317.7,63.54
849,108.55,1,0.0,108.55,108.55,21.71
850,24.61,1,0.0,24.61,24.61,4.92
851,187.33,8,5.0,1498.64,1423.71,284.74
852,130.95,2,5.0,261.9,248.8,49.76
853,146.01,15,10.0,2190.15,1971.14,394.23
854,39.28,14,15.0,549.92,467.43,93.49
855,151.06,5,0.0,755.3,755.3,151.06
856,122.54,6,30.0,735.24,514.67,102.93
857,101.31,14,5.0,1418.34,1347.42,269.48
858,26.97,8,0.0,215.76,215.76,43.15
859,105.195,5,5.0,525.97,499.67,99.93
860,171.95,14,10.0,2407.3,2166.57,433.31
861,135.5,3,5.0,406.5,386.17,77.23
862,105.195,8,10.0,841.56,757.4,151.48
863,145.96,8,5.0,1167.68,1109.3,221.86
864,28.05,7,5.0,196.35,186.53,37.31
865,129.55,6,5.0,777.3,738.44,147.69
866,98.25,10,20.0,982.5,786.0,157.2
867,152.68,14,5.0,2137.52,2030.64,406.13
868,121.18,9,10.0,1090.62,981.56,196.31
869,115.01,0,20.0,0.0,0.0,0.0
870,109.65,14,0.0,1535.1,1535.1,307.02
871,144.8,15,0.0,2172.0,2172.0,434.4
872,105.08,1,30.0,105.08,73.56,14.71
873,146.04,14,0.0,2044.56,2044.56,408.91
874,19.24,12,0.0,230.88,230.88,46.18
875,187.24,0,0.0,0.0,0.0,0.0
876,40.1,11,30.0,441.1,308.77,61.75
877,78.02,8,10.0,624.16,561.74,112.35
878,138.13,9,0.0,1243.17,1243.17,248.63
879,198.61,3,5.0,595.83,566.04,113.21
880,152.45,8,20.0,1219.6,975.68,195.14
881,78.96,8,5.0,631.68,600.1,120.02
882,175.67,1,10.0,175.67,158.1,31.62
883,187.57,4,0.0,750.28,750.28,150.06
884,92.06,14,0.0,1288.84,1288.84,257.77
885,83.44,4,0.0,333.76,333.76,66.75
886,49.71,15,10.0,745.65,671.08,134.22
887,155.64,4,0.0,622.56,622.56,124.51
888,106.64,5,0.0,533.2,533.2,106.64
889,176.54,11,20.0,1941.94,1553.55,310.71
890,194.6,11,20.0,2140.6,1712.48,342.5
891,86.18,7,20.0,603.26,482.61,96.52
892,170.62,12,0.0,2047.44,2047.44,409.49
893,114.67,9,10.0,1032.03,928.83,185.77
894,44.65,15,10.0,669.75,602.78,120.56
895,146.29,5,25.0,731.45,548.59,109.72
896,175.36,13,30.0,2279.68,1595.78,319.16
897,98.48,6,0.0,590.88,590.88,118.18
898,42.05,12,15.0,504.6,428.91,85.78
899,140.65,7,20.0,984.55,787.64,157.53
900,60.2,11,5.0,662.2,629.09,125.82
901,177.15,13,15.0,2302.95,1957.51,391.5
902,67.45,6,25.0,404.7,303.52,60.7
903,149.54,8,25.0,1196.32,897.24,179.45
904,86.43,6,25.0,518.58,388.94,77.79
905,102.36,11,15.0,1125.96,957.07,191.41
906,130.13,3,10.0,390.39,351.35,70.27
907,145.46,15,30.0,2181.9,1527.33,305.47
908,107.17,2,30.0,214.34,150.04,30.01
909,105.195,8,0.0,841.56,841.56,168.31
910,142.9,8,10.0,1143.2,1028.88,205.78
911,129.36,15,15.0,1940.4,1649.34,329.87
912,105.195,7,0.0,736.36,736.36,147.27
913,58.57,1,30.0,58.57,41.0,8.2
914,188.24,15,0.0,2823.6,2823.6,564.72
915,125.86,6,10.0,755.16,679.64,135.93
916,192.06,4,5.0,768.24,729.83,145.97
917,166.47,1,0.0,166.47,166.47,33.29
918,97.82,12,15.0,1173.84,997.76,199.55
919,130.76,14,20.0,1830.64,1464.51,292.9
920,49.8,12,15.0,597.6,507.96,101.59
921,185.21,5,25.0,926.05,694.54,138.91
922,39.97,1,25.0,39.97,29.98,6.0
923,41.93,15,0.0,628.95,628.95,125.79
924,51.89,7,20.0,363.23,290.58,58.12
925,152.34,12,20.0,1828.08,1462.46,292.49
926,72.44,2,10.0,144.88,130.39,26.08
927,124.7,13,30.0,1621.1,1134.77,226.95
928,198.55,6,10.0,1191.3,1072.17,214.43
929,137.54,2,5.0,275.08,261.33,52.27
930,144.06,2,30.0,288.12,201.68,40.34
931,80.98,2,0.0,161.96,161.96,32.39
932,75.18,3,0.0,225.54,225.54,45.11
933,113.17,1,0.0,113.17,113.17,22.63
934,121.62,7,0.0,851.34,851.34,170.27
935,156.94,9,5.0,1412.46,1341.84,268.37
936,38.07,3,5.0,114.21,108.5,21.7
937,17.34,7,0.0,121.38,121.38,24.28
938,189.12,8,5.0,1512.96,1437.31,287.46
939,31.42,8,25.0,251.36,188.52,37.7
940,173.13,7,30.0,1211.91,848.34,169.67
941,31.54,12,10.0,378.48,340.63,68.13
942,82.66,12,15.0,991.92,843.13,168.63
943,157.49,5,10.0,787.45,708.7,141.74
944,186.75,9,20.0,1680.75,1344.6,268.92
945,105.195,12,5.0,1262.34,1199.22,239.84
946,18.49,13,15.0,240.37,204.31,40.86
947,18.63,3,10.0,55.89,50.3,10.06
948,198.19,7,10.0,1387.33,1248.6,249.72
949,159.19,15,25.0,2387.85,1790.89,358.18
950,21.57,11,0.0,237.27,237.27,47.45
951,13.64,11,10.0,150.04,135.04,27.01
952,88.94,8,20.0,711.52,569.22,113.84
953,113.81,4,10.0,455.24,409.72,81.94
954,137.51,3,0.0,412.53,412.53,82.51
955,62.61,2,0.0,125.22,125.22,25.04
956,19.04,4,10.0,76.16,68.54,13.71
957,90.44,6,0.0,542.64,542.64,108.53
958,105.195,1,30.0,105.2,73.64,14.73
959,161.01,12,0.0,1932.12,1932.12,386.42
960,69.54,8,10.0,556.32,500.69,100.14
961,41.35,7,0.0,289.45,289.45,57.89
962,43.48,7,0.0,304.36,304.36,60.87
963,59.28,13,0.0,770.64,770.64,154.13
964,175.04,6,0.0,1050.24,1050.24,210.05
965,173.21,11,10.0,1905.31,1714.78,342.96
966,119.47,14,0.0,1672.58,1672.58,334.52
967,142.67,10,30.0,1426.7,998.69,199.74
968,10.3,3,0.0,30.9,30.9,6.18
969,86.56,7,15.0,605.92,515.03,103.01
970,140.22,3,15.0,420.66,357.56,71.51
971,41.48,10,0.0,414.8,414.8,82.96
972,6.87,14,20.0,96.18,76.94,15.39
973,101.52,7,15.0,710.64,604.04,120.81
974,21.12,8,5.0,168.96,160.51,32.1
975,105.195,5,15.0,525.97,447.07,89.41
976,155.65,9,0.0,1400.85,1400.85,280.17
977,110.91,9,0.0,998.19,998.19,199.64
978,91.07,7,0.0,637.49,637.49,127.5
979,63.05,8,0.0,504.4,504.4,100.88
980,198.82,4,25.0,795.28,596.46,119.29
981,172.9,7,0.0,1210.3,1210.3,242.06
982,163.64,10,5.0,1636.4,1554.58,310.92
983,37.83,5,5.0,189.15,179.69,35.94
984,105.31,14,0.0,1474.34,1474.34,294.87
985,184.16,14,0.0,2578.24,2578.24,515.65
986,143.72,13,10.0,1868.36,1681.52,336.3
987,117.6,7,0.0,823.2,823.2,164.64
988,176.62,3,10.0,529.86,476.87,95.37
989,100.17,14,0.0,1402.38,1402.38,280.48
990,94.4,6,20.0,566.4,453.12,90.62
991,193.79,8,5.0,1550.32,1472.8,294.56
992,117.7,8,30.0,941.6,659.12,131.82
993,13.96,14,0.0,195.44,195.44,39.09
994,35.81,7,0.0,250.67,250.67,50.13
995,63.86,15,30.0,957.9,670.53,134.11
996,21.07,11,10.0,231.77,208.59,41.72
997,146.57,7,0.0,1025.99,1025.99,205.2
998,105.195,3,20.0,315.58,252.46,50.49
999,6.81,14,0.0,95.34,95.34,19.07
